Details of Training:-----------------------
dataset: SpokenArabicDigits
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_scaffold_dir0.05
PID: 1681576
PPID: 1681571
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: scaffolddataset: CharacterTrajectoriesdescription: har_scaffold_dir0.05federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falselogPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.0    wd: 0scaffold:  global_lr: 1.0
dataset: SpokenArabicDigitsround:187 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:188 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:189 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:190 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:191 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:192 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:193 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:194 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:195 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:196 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:197 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:198 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
dataset: SpokenArabicDigitsround:199 server aggregation  testACC:0.9918144611186903 trainACC:1.0 avg_loss:nan
