Details of Training:-----------------------
dataset: PhonemeSpectra
local train epochs: 3
round num: 200
batch size: 8
lr: 0.05
use_client_selection: False
server_device: cuda:0
client_workers: 3
client_worker_devices: ['cuda:0', 'cuda:0', 'cuda:0']
client_groups: [[0], [1], [2]]
-------------------------------------------
har_fedproto_dir0.3
PID: 856949
PPID: 856933
ablation:  UseACF: false  UseDistribution: false  UseJointCL: false  UseJointKD: false  UseMTLHomo: false  UseProdictor: false  UseScaleCL: false  UseScaleKD: falsealgo: fedprotodataset: CharacterTrajectoriesdescription: har_fedproto_dir0.3federated:  auto_resume: true  checkpoint_every: 30  client_selection_ratio: 0.6  dirichlet_alpha: 1  numClient: 3  numEpoch: 3  numRound: 200  use_client_selection: falsefedproto:  lamda: 1.0logPath: ./result/model:  name: ''  params:    batch_size: 8    beta: 0.4    dist_measure: mix    gamma: 0.5    l: 0.01    lr: 0.05    ls: 1    momentum: 0.9    wd: 0
dataset: PhonemeSpectraround:81 server aggregation  testACC:0.23143453623620638 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:82 server aggregation  testACC:0.230838055472711 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:83 server aggregation  testACC:0.2311362958544587 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:84 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:85 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:86 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:87 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:88 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:89 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:90 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:91 server aggregation  testACC:0.23262749776319713 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:92 server aggregation  testACC:0.2311362958544587 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:93 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:94 server aggregation  testACC:0.23262749776319713 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:95 server aggregation  testACC:0.23262749776319713 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:96 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:97 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:98 server aggregation  testACC:0.23143453623620638 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:99 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:100 server aggregation  testACC:0.23262749776319713 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:101 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:102 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:103 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:104 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:105 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:106 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:107 server aggregation  testACC:0.23322397852669252 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:108 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:109 server aggregation  testACC:0.23232925738144944 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:110 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:111 server aggregation  testACC:0.23143453623620638 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:112 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:113 server aggregation  testACC:0.23203101699970177 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:114 server aggregation  testACC:0.23143453623620638 trainACC:1.0 avg_loss:nan
dataset: PhonemeSpectraround:115 server aggregation  testACC:0.23173277661795408 trainACC:1.0 avg_loss:nan
